sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-1.8,2.8,-0.6,-1.1,setosa
16.9,0.2,7.3,-1.2,versicolor
6.3,-0.4,-2.0,-0.6,setosa
7.5,1.6,1.7,0.2,setosa
6.2,6.5,14.0,5.2,versicolor
-4.5,2.6,14.0,-1.2,versicolor
6.6,-0.3,3.6,1.5,virginica
4.6,2.1,-1.3,-1.1,setosa
-5.0,4.7,-2.0,2.1,virginica
16.4,7.0,6.5,3.0,virginica
9.6,5.8,2.8,-2.6,virginica
15.5,2.9,2.6,3.3,versicolor
10.7,5.6,3.3,-0.8,versicolor
5.9,1.0,13.0,-0.2,virginica
19.1,-1.7,3.4,3.5,versicolor
